,name,industry,key_process,product_solution
9848,uniper,oil & energy,Transactions,SG Global Cash
9852,wipro,information technology and services,Transactions,SG Global Cash
9857,perfectly posh,consumer goods,Transactions,SG Global Cash
9866,plains all american,oil & energy,Transactions,SG Global Cash
9876,reckitt benckiser,consumer goods,Transactions,SG Global Cash
9879,jaiprakash associates limited,consumer goods,Transactions,SG Global Cash
9881,tullow oil,oil & energy,Transactions,SG Global Cash
9886,biolab sanus farmacêutica,pharmaceuticals,Transactions,SG Global Cash
9892,black & decker,consumer goods,Transactions,SG Global Cash
9899,ikco,automotive,Transactions,SG Global Cash
9905,t.d. williamson,oil & energy,Transactions,SG Global Cash
9908,precision drilling,oil & energy,Transactions,SG Global Cash
9919,publicis touchpoint solutions,pharmaceuticals,Transactions,SG Global Cash
9967,valtech,information technology and services,Transactions,SG Global Cash
9989,lithia motors,automotive,Transactions,SG Global Cash
